1024,1,0,1,1,144
1024,1,0,1,3,240
1024,1,0,1,3,480
1024,2,2,1,2,144
1024,2,2,1,3,240
1024,2,2,1,3,480
1536,1,0,1,1,144
1536,1,0,1,3,240
1536,1,0,1,3,240
1536,1,0,1,3,240
1536,1,0,1,3,240
1536,2,2,1,1,144
1536,2,2,1,2,144
1536,2,2,1,2,144
1536,2,2,1,2,144
1536,2,2,1,2,144
1536,2,2,1,3,240
2048,1,0,1,2,240
2048,1,0,1,2,240
2048,1,0,1,2,240
2048,1,0,1,2,240
2048,1,0,1,3,240
2048,2,2,1,3,240
2048,1,0,1,3,240
2048,1,0,1,3,240
2048,1,0,1,3,240
2048,1,0,1,3,240
2048,1,0,1,3,240
2048,2,2,1,3,240
2048,2,2,1,3,240
2048,1,0,1,4,240
2048,1,0,1,4,480
2048,1,0,1,4,360
2048,1,0,1,5,480
2560,2,2,1,3,240
2560,1,0,1,4,480
2560,1,0,1,4,480
2560,1,0,1,5,480
2560,1,0,1,5,360
3072,1,0,1,3,240
3072,1,0,1,3,240
3072,1,0,1,4,480
3072,1,0,1,4,360
3072,1,0,1,4,480
3072,1,0,1,4,480
3072,1,0,1,5,360
3072,1,0,1,5,360
3072,1,0,1,5,360
3072,2,2,1,5,480
3072,2,2,1,5,480
3072,2,2,1,5,360
3584,1,0,1,4,480
3584,1,0,1,5,480
3584,1,0,1,5,480
3584,1,0,1,5,720
3584,2,2,1,5,720
3584,2,2,1,5,480
3584,1,0,1,5,480
4096,1,0,1,5,1080
